review_id,user_name,user_type,rating,review_text,state,num_tires,amount_spent,tire_size,vehicle_type,purchase_date,usage_time_months,driving_conditions,usage_frequency,tire_brand,repeat_purchase,reported_issues,vehicle_model,recommendation,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos
11,Ellison-Perkins,company,5,"Perfect for long highway trips, comfortable ride.",Sinaloa,16,4540.06,700x25c,bicycle,2025-02-03,5,highway,low,Goodyear,No,punctures,Recognize 715,No,0.0,0.417,0.583,0.7906,0.0024585328064858913,0.07062184065580368,0.9269196391105652
12,"Fernandez, Phillips and Harris",company,3,"Had frequent punctures, disappointing experience.",Puebla,17,1725.95,110/70-17,motorcycle,2023-03-27,28,highway,low,Bridgestone,No,noise,Agency 833,Yes,0.444,0.556,0.0,-0.4939,0.9316799640655518,0.06349162012338638,0.0048284148797392845
13,Sylvia Smith,individual,4,"Amazing traction and stability, very satisfied.",Campeche,17,1719.15,110/70-17,truck,2024-04-05,33,mixed,low,Bridgestone,No,none,Somebody 178,No,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
14,Jessica Martin,individual,5,Good tires but a bit noisy at high speeds.,Baja California,9,4815.08,700x25c,truck,2023-10-25,21,highway,low,Pirelli,No,fast wear,Cause 297,No,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
15,William Dominguez,individual,5,"Had frequent punctures, disappointing experience.",Chiapas,9,2817.5,110/70-17,truck,2022-06-16,9,highway,medium,Goodyear,No,none,Understand 544,No,0.444,0.556,0.0,-0.4939,0.9316799640655518,0.06349162012338638,0.0048284148797392845
16,Deborah Crawford,individual,5,"Not worth the price, wore out too quickly.",Guerrero,11,1456.49,700x25c,car,2023-04-10,12,mixed,medium,Continental,Yes,fast wear,Than 569,No,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
17,Nelson PLC,company,4,Good tires but a bit noisy at high speeds.,Coahuila,15,2246.65,700x25c,truck,2024-07-24,32,city,low,Pirelli,No,fast wear,Pretty 743,Yes,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
18,Ferguson-Meyer,company,5,"Reliable and fuel-efficient, highly recommend.",Chiapas,4,1590.3,110/70-17,car,2025-02-22,20,mixed,medium,Michelin,Yes,good traction,International 410,Yes,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
19,Larsen-Wheeler,company,5,"Not worth the price, wore out too quickly.",México,2,2396.65,700x25c,motorcycle,2023-05-28,11,off-road,low,Goodyear,No,noise,He 172,Yes,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
20,Mary Barker,individual,4,Excellent performance and smooth ride.,Puebla,10,2986.44,225/70R19.5,motorcycle,2023-02-26,17,mixed,high,Goodyear,No,fast wear,Describe 852,No,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
21,Michael Perez,individual,1,Good tires but a bit noisy at high speeds.,Oaxaca,17,139.73,700x25c,motorcycle,2024-10-25,29,highway,medium,Goodyear,Yes,fast wear,Science 597,No,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
22,Kyle Jimenez,individual,3,"Had frequent punctures, disappointing experience.",México,16,4663.9,110/70-17,truck,2022-03-19,29,highway,medium,Continental,No,good traction,Decision 660,Yes,0.444,0.556,0.0,-0.4939,0.9316799640655518,0.06349162012338638,0.0048284148797392845
23,Whitaker Ltd,company,3,"Not worth the price, wore out too quickly.",México,13,3443.45,700x25c,bicycle,2023-05-14,32,mixed,low,Pirelli,Yes,excellent grip,Professional 538,Yes,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
24,Christina Adams,individual,3,"Mediocre performance, I would not buy again.",Guerrero,13,3411.61,700x25c,motorcycle,2024-10-20,2,highway,high,Goodyear,Yes,excellent grip,Idea 175,No,0.0,1.0,0.0,0.0,0.9485473036766052,0.047593820840120316,0.00385898444801569
25,Danielle Curtis,individual,4,"Not worth the price, wore out too quickly.",Nuevo León,5,2725.87,265/70R17,truck,2022-12-01,15,highway,medium,Pirelli,Yes,none,Short 340,No,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
26,Gordon PLC,company,2,Excellent performance and smooth ride.,Durango,2,4429.38,700x25c,motorcycle,2023-01-04,19,off-road,low,Goodyear,Yes,none,Season 744,No,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
27,Stephanie Reynolds,individual,3,"Perfect for long highway trips, comfortable ride.",Durango,8,1238.7,225/70R19.5,car,2022-04-28,21,city,medium,Michelin,No,good traction,Factor 566,No,0.0,0.417,0.583,0.7906,0.0024585328064858913,0.07062184065580368,0.9269196391105652
28,Garcia PLC,company,2,Good tires but a bit noisy at high speeds.,Nuevo León,4,4011.57,225/70R19.5,motorcycle,2023-01-31,2,highway,low,Pirelli,Yes,good traction,Young 365,No,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
29,Shelley Mccarthy,individual,4,"Not worth the price, wore out too quickly.",Tlaxcala,5,2591.51,225/70R19.5,bicycle,2025-03-11,26,off-road,high,Michelin,Yes,none,Listen 228,Yes,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
31,Smith LLC,company,1,"Reliable and fuel-efficient, highly recommend.",Zacatecas,14,4684.53,225/70R19.5,motorcycle,2022-08-10,10,city,low,Michelin,No,punctures,Build 133,No,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
32,Joshua Davis,individual,1,"Amazing traction and stability, very satisfied.",Veracruz,12,3284.16,225/70R19.5,truck,2024-09-09,14,off-road,medium,Continental,No,punctures,Nation 852,No,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
33,Karen Flores,individual,2,"Reliable and fuel-efficient, highly recommend.",San Luis Potosí,6,459.48,225/70R19.5,truck,2023-03-23,26,city,medium,Bridgestone,No,fast wear,Identify 935,No,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
34,Joshua Fletcher,individual,5,"Great tires, very durable and reliable.",Yucatán,6,2556.41,110/70-17,bicycle,2024-07-28,1,mixed,high,Goodyear,Yes,good traction,Camera 539,No,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
35,Jamie Zamora,individual,3,"Reliable and fuel-efficient, highly recommend.",Baja California Sur,9,225.49,225/70R19.5,truck,2023-06-24,30,mixed,medium,Goodyear,Yes,noise,Drug 753,Yes,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
36,"Clark, Hunter and Chaney",company,1,Good tires but a bit noisy at high speeds.,Chiapas,14,4859.98,225/70R19.5,truck,2023-02-08,12,highway,high,Goodyear,Yes,good traction,Gas 731,Yes,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
37,Karen King,individual,2,Good tires but a bit noisy at high speeds.,Quintana Roo,17,177.75,265/70R17,bicycle,2024-02-24,29,highway,low,Pirelli,Yes,punctures,Stage 688,No,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
38,"Orr, Thompson and Mayo",company,1,"Mediocre performance, I would not buy again.",Aguascalientes,5,3659.0,700x25c,car,2023-02-14,35,off-road,low,Continental,No,punctures,Part 613,Yes,0.0,1.0,0.0,0.0,0.9485473036766052,0.047593820840120316,0.00385898444801569
39,Edwards LLC,company,2,"Amazing traction and stability, very satisfied.",Oaxaca,1,3515.05,110/70-17,car,2022-12-22,8,city,high,Michelin,Yes,fast wear,Standard 771,No,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
40,Renee Morrow,individual,4,"Poor grip on wet roads, I expected better.",Oaxaca,1,1609.32,225/70R19.5,motorcycle,2025-01-20,7,off-road,high,Michelin,No,fast wear,Purpose 614,No,0.282,0.455,0.264,-0.0516,0.7851122617721558,0.19488674402236938,0.02000102400779724
41,Michael Martinez,individual,2,"Reliable and fuel-efficient, highly recommend.",Veracruz,5,4399.06,700x25c,truck,2023-04-14,8,highway,high,Michelin,Yes,fast wear,Song 655,No,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
42,"Hale, Reid and Foster",company,3,"Poor grip on wet roads, I expected better.",Tamaulipas,14,3096.6,225/70R19.5,car,2024-04-02,8,city,low,Pirelli,Yes,noise,Career 914,Yes,0.282,0.455,0.264,-0.0516,0.7851122617721558,0.19488674402236938,0.02000102400779724
43,"Evans, Ramirez and Newman",company,4,"Perfect for long highway trips, comfortable ride.",Baja California Sur,9,2128.67,110/70-17,motorcycle,2025-03-12,15,off-road,high,Continental,Yes,excellent grip,Right 881,Yes,0.0,0.417,0.583,0.7906,0.0024585328064858913,0.07062184065580368,0.9269196391105652
44,Vincent Levine,individual,3,"Amazing traction and stability, very satisfied.",Chiapas,5,4657.44,265/70R17,motorcycle,2022-06-06,10,mixed,high,Goodyear,No,good traction,Choice 326,Yes,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
45,Christopher Blankenship,individual,4,Good tires but a bit noisy at high speeds.,Tabasco,13,320.36,700x25c,car,2025-01-01,3,highway,high,Goodyear,No,good traction,Born 545,Yes,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
46,Karina Bradley,individual,2,"Amazing traction and stability, very satisfied.",Tamaulipas,8,835.17,225/70R19.5,truck,2023-07-14,28,highway,low,Michelin,Yes,noise,Assume 583,No,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
47,"Strickland, Lucas and Chavez",company,5,"Not worth the price, wore out too quickly.",Coahuila,9,1927.31,265/70R17,motorcycle,2023-10-29,14,off-road,medium,Pirelli,No,excellent grip,Bar 353,Yes,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
48,Christopher Miller,individual,1,"Amazing traction and stability, very satisfied.",Zacatecas,12,691.74,225/70R19.5,truck,2025-01-24,1,mixed,high,Goodyear,Yes,excellent grip,Seem 162,No,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
49,Hall-Cordova,company,5,Good tires but a bit noisy at high speeds.,Oaxaca,4,3309.35,110/70-17,bicycle,2023-05-27,21,city,low,Pirelli,Yes,excellent grip,They 417,Yes,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
50,"Gonzales, Owen and Smith",company,3,"Had frequent punctures, disappointing experience.",Puebla,15,1407.86,110/70-17,motorcycle,2023-06-06,2,highway,low,Michelin,Yes,fast wear,See 453,No,0.444,0.556,0.0,-0.4939,0.9316799640655518,0.06349162012338638,0.0048284148797392845
51,Williams-House,company,2,"Great tires, very durable and reliable.",Tabasco,3,4773.61,700x25c,car,2024-11-07,29,city,low,Bridgestone,Yes,excellent grip,Quickly 921,Yes,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
52,Kristin Combs,individual,3,"Amazing traction and stability, very satisfied.",Guerrero,11,4402.31,265/70R17,truck,2024-08-12,15,city,low,Pirelli,No,none,Sit 610,Yes,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
53,Ian Hernandez,individual,3,"Mediocre performance, I would not buy again.",Michoacán,15,1046.0,265/70R17,motorcycle,2024-07-18,24,city,low,Pirelli,No,fast wear,Begin 528,Yes,0.0,1.0,0.0,0.0,0.9485473036766052,0.047593820840120316,0.00385898444801569
54,"Moore, Miles and Mann",company,4,"Had frequent punctures, disappointing experience.",Hidalgo,16,1963.15,700x25c,motorcycle,2024-11-05,14,off-road,medium,Goodyear,No,none,Sometimes 733,Yes,0.444,0.556,0.0,-0.4939,0.9316799640655518,0.06349162012338638,0.0048284148797392845
55,Wiggins and Sons,company,5,"Great tires, very durable and reliable.",Chihuahua,12,4635.56,225/70R19.5,motorcycle,2022-10-05,22,mixed,medium,Pirelli,No,punctures,Catch 281,No,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
56,Lindsey Mitchell,individual,4,"Perfect for long highway trips, comfortable ride.",Baja California Sur,13,411.62,700x25c,truck,2024-04-15,36,city,high,Bridgestone,No,excellent grip,Despite 947,Yes,0.0,0.417,0.583,0.7906,0.0024585328064858913,0.07062184065580368,0.9269196391105652
57,Allen-Long,company,5,Excellent performance and smooth ride.,Baja California,17,254.42,265/70R17,truck,2025-02-12,3,highway,low,Pirelli,Yes,punctures,Culture 808,No,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
58,Karen Anderson,individual,3,"Not worth the price, wore out too quickly.",Yucatán,10,754.37,110/70-17,motorcycle,2023-09-26,33,off-road,low,Continental,No,excellent grip,Leg 437,Yes,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
59,Lee-Roach,company,1,"Reliable and fuel-efficient, highly recommend.",Yucatán,2,1538.73,110/70-17,truck,2023-06-01,7,mixed,low,Goodyear,Yes,good traction,High 679,Yes,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
61,Miranda Foster,individual,2,"Perfect for long highway trips, comfortable ride.",Baja California Sur,7,557.52,110/70-17,car,2024-10-14,1,mixed,high,Goodyear,No,none,Home 476,Yes,0.0,0.417,0.583,0.7906,0.0024585328064858913,0.07062184065580368,0.9269196391105652
62,Cline Ltd,company,2,"Reliable and fuel-efficient, highly recommend.",Coahuila,10,4106.87,700x25c,car,2024-08-09,6,highway,low,Michelin,No,none,Yard 341,No,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
63,Ewing LLC,company,2,"Amazing traction and stability, very satisfied.",Sonora,9,2485.77,700x25c,truck,2024-02-01,14,highway,high,Continental,Yes,punctures,Month 202,Yes,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
64,Lang-Mays,company,2,"Great tires, very durable and reliable.",San Luis Potosí,4,821.81,265/70R17,bicycle,2024-07-22,9,city,low,Bridgestone,No,good traction,Require 174,No,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
65,Rebecca Roberts,individual,2,"Great tires, very durable and reliable.",Tabasco,7,,265/70R17,car,2024-05-18,6,mixed,high,Continental,No,excellent grip,Music 248,No,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
66,Obrien LLC,company,4,"Great tires, very durable and reliable.",San Luis Potosí,15,139.08,110/70-17,bicycle,2023-12-17,20,off-road,high,Goodyear,No,fast wear,Institution 765,No,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
67,William Glover,individual,2,Excellent performance and smooth ride.,Nuevo León,3,2686.21,225/70R19.5,motorcycle,2023-09-10,28,off-road,high,Continental,Yes,none,Build 855,No,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
68,Ruth Walker,individual,4,"Not worth the price, wore out too quickly.",Jalisco,11,228.5,700x25c,motorcycle,2022-12-14,19,highway,medium,Goodyear,No,excellent grip,Cause 174,No,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
69,Williams-Conrad,company,2,"Not worth the price, wore out too quickly.",Baja California Sur,15,4199.19,700x25c,car,2023-05-04,18,mixed,high,Bridgestone,No,fast wear,Control 840,No,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
70,Grant-Williams,company,4,"Amazing traction and stability, very satisfied.",Guanajuato,13,,265/70R17,motorcycle,2023-09-08,23,off-road,medium,Pirelli,No,excellent grip,Mr 882,Yes,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
73,Anthony Ballard,individual,4,"Mediocre performance, I would not buy again.",Durango,12,1705.64,265/70R17,truck,2023-01-11,12,city,low,Michelin,Yes,none,Trade 566,No,0.0,1.0,0.0,0.0,0.9485473036766052,0.047593820840120316,0.00385898444801569
74,"Johnson, Harper and Johnson",company,4,"Perfect for long highway trips, comfortable ride.",Baja California,18,458.32,110/70-17,bicycle,2024-01-15,12,highway,low,Goodyear,Yes,fast wear,Fear 733,Yes,0.0,0.417,0.583,0.7906,0.0024585328064858913,0.07062184065580368,0.9269196391105652
75,Laura Gonzalez,individual,3,"Not worth the price, wore out too quickly.",Guanajuato,7,165.33,110/70-17,truck,2024-03-05,5,mixed,high,Bridgestone,Yes,excellent grip,Stand 852,No,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
76,Nicole Hayes,individual,2,Good tires but a bit noisy at high speeds.,Morelos,13,2888.33,265/70R17,bicycle,2022-09-27,21,highway,low,Bridgestone,Yes,fast wear,Step 125,No,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
77,Zhang-Johnston,company,3,"Had frequent punctures, disappointing experience.",Coahuila,11,1180.72,700x25c,motorcycle,2022-05-04,28,mixed,high,Michelin,Yes,none,These 424,Yes,0.444,0.556,0.0,-0.4939,0.9316799640655518,0.06349162012338638,0.0048284148797392845
78,Lee Group,company,1,Excellent performance and smooth ride.,Guanajuato,1,3353.23,265/70R17,car,2024-06-18,32,off-road,medium,Continental,Yes,good traction,His 721,Yes,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
79,Robin Watkins,individual,1,Excellent performance and smooth ride.,Tlaxcala,2,3164.47,700x25c,bicycle,2022-11-08,1,off-road,low,Michelin,Yes,excellent grip,Meet 592,No,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
80,"Webster, Deleon and Horn",company,3,Excellent performance and smooth ride.,Veracruz,8,1002.84,265/70R17,bicycle,2023-08-31,24,off-road,low,Michelin,No,fast wear,Outside 919,Yes,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
81,Wilson PLC,company,3,"Reliable and fuel-efficient, highly recommend.",México,11,4915.25,225/70R19.5,truck,2023-11-23,5,highway,medium,Continental,Yes,noise,Research 273,No,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
83,David Garcia,individual,3,"Amazing traction and stability, very satisfied.",Michoacán,14,564.38,265/70R17,bicycle,2022-04-22,34,mixed,medium,Bridgestone,Yes,noise,Science 214,No,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
84,Meghan Logan,individual,5,Good tires but a bit noisy at high speeds.,Tamaulipas,1,1130.13,265/70R17,truck,2024-12-19,24,highway,low,Michelin,No,fast wear,Energy 895,Yes,0.205,0.6,0.195,-0.0258,0.1025359183549881,0.5793696045875549,0.31809449195861816
85,"Montgomery, Ponce and Avery",company,2,"Poor grip on wet roads, I expected better.",Campeche,8,2542.65,110/70-17,motorcycle,2024-06-06,9,mixed,high,Goodyear,No,noise,Anything 576,Yes,0.282,0.455,0.264,-0.0516,0.7851122617721558,0.19488674402236938,0.02000102400779724
87,Allison Caldwell,individual,4,"Great tires, very durable and reliable.",Quintana Roo,4,2800.06,110/70-17,bicycle,2023-04-18,33,highway,high,Continental,No,excellent grip,Onto 947,Yes,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
88,Anna Christian,individual,5,"Reliable and fuel-efficient, highly recommend.",Baja California Sur,4,879.15,110/70-17,motorcycle,2024-01-19,28,off-road,medium,Michelin,Yes,fast wear,American 792,Yes,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
89,George Ltd,company,5,"Perfect for long highway trips, comfortable ride.",Morelos,3,630.8,265/70R17,motorcycle,2023-07-11,15,mixed,high,Goodyear,No,good traction,Relationship 407,No,0.0,0.417,0.583,0.7906,0.0024585328064858913,0.07062184065580368,0.9269196391105652
90,Anna Norton,individual,3,Excellent performance and smooth ride.,Michoacán,9,3745.08,265/70R17,car,2024-08-16,18,city,medium,Bridgestone,Yes,excellent grip,Stock 706,Yes,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
91,"Rivera, Porter and Gonzales",company,4,"Not worth the price, wore out too quickly.",Querétaro,3,3519.04,265/70R17,bicycle,2022-05-20,34,mixed,high,Michelin,Yes,noise,Recently 661,Yes,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
92,Bradley Wise,individual,1,Excellent performance and smooth ride.,Sinaloa,11,4136.64,225/70R19.5,truck,2024-11-25,32,highway,medium,Continental,No,none,Military 393,Yes,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
93,Shannon Mcdonald,individual,5,Excellent performance and smooth ride.,Hidalgo,8,669.08,700x25c,motorcycle,2023-11-25,26,off-road,low,Bridgestone,No,none,Camera 973,No,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
94,Joshua Williams,individual,2,Excellent performance and smooth ride.,Chihuahua,1,4301.39,265/70R17,car,2024-12-07,8,off-road,medium,Michelin,No,excellent grip,Home 354,No,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
95,"Neal, White and Hartman",company,3,"Mediocre performance, I would not buy again.",Querétaro,5,2136.96,225/70R19.5,bicycle,2024-08-07,1,highway,low,Pirelli,No,good traction,Off 998,No,0.0,1.0,0.0,0.0,0.9485473036766052,0.047593820840120316,0.00385898444801569
96,"Castillo, Baldwin and Hernandez",company,5,Excellent performance and smooth ride.,Michoacán,4,1357.66,265/70R17,bicycle,2024-08-27,3,highway,medium,Pirelli,No,excellent grip,Operation 292,Yes,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
97,Stephens-Mcdaniel,company,2,"Had frequent punctures, disappointing experience.",Nuevo León,15,4979.96,265/70R17,car,2023-06-07,19,highway,medium,Pirelli,Yes,good traction,Why 675,No,0.444,0.556,0.0,-0.4939,0.9316799640655518,0.06349162012338638,0.0048284148797392845
98,Drake Inc,company,3,"Not worth the price, wore out too quickly.",San Luis Potosí,10,1379.48,700x25c,motorcycle,2023-11-09,36,off-road,low,Michelin,Yes,noise,Attack 356,No,0.192,0.808,0.0,-0.1695,0.9094257950782776,0.08265572786331177,0.00791850220412016
99,Catherine Mora,individual,1,"Amazing traction and stability, very satisfied.",Zacatecas,17,2235.24,110/70-17,car,2023-12-13,27,mixed,low,Continental,Yes,none,Soldier 176,No,0.0,0.367,0.633,0.7841,0.0026392550207674503,0.03594231978058815,0.9614183902740479
100,Kelsey Barnes,individual,2,"Reliable and fuel-efficient, highly recommend.",Tlaxcala,6,2940.34,265/70R17,bicycle,2024-02-27,13,mixed,medium,Michelin,Yes,noise,Purpose 871,No,0.0,0.589,0.411,0.4201,0.00265924958512187,0.05935833603143692,0.9379824995994568
101,Clay Group,company,2,"Poor grip on wet roads, I expected better.",San Luis Potosí,10,2210.46,700x25c,bicycle,2023-12-10,2,off-road,medium,Michelin,No,noise,Difficult 661,No,0.282,0.455,0.264,-0.0516,0.7851122617721558,0.19488674402236938,0.02000102400779724
102,"Goodwin, Rich and Smith",company,4,Excellent performance and smooth ride.,Zacatecas,1,3951.6,110/70-17,car,2022-08-07,20,highway,low,Continental,Yes,good traction,Provide 951,No,0.0,0.519,0.481,0.5719,0.006316032726317644,0.09584909677505493,0.8978348970413208
103,"Williamson, Wise and Chang",company,3,"Mediocre performance, I would not buy again.",Querétaro,11,2921.81,265/70R17,bicycle,2022-11-06,11,off-road,high,Michelin,No,noise,Natural 364,Yes,0.0,1.0,0.0,0.0,0.9485473036766052,0.047593820840120316,0.00385898444801569
104,Martin LLC,company,4,"Great tires, very durable and reliable.",Guerrero,9,4577.2,110/70-17,bicycle,2023-12-07,20,mixed,high,Michelin,No,excellent grip,Must 624,Yes,0.0,0.549,0.451,0.6249,0.004521752241998911,0.07333018630743027,0.9221481084823608
105,Tanya Miller,individual,5,"Poor grip on wet roads, I expected better.",Quintana Roo,5,233.85,700x25c,motorcycle,2023-01-31,20,city,medium,Michelin,No,punctures,During 664,Yes,0.282,0.455,0.264,-0.0516,0.7851122617721558,0.19488674402236938,0.02000102400779724
